model,split,R2,MAE_um,RMSE_um
Mean baseline,train,0.0,4.0953202799479165,4.8340200382556535
Mean baseline,test,-0.015309166955591591,4.9682833593749995,5.817442238970483
Linear regression,train,0.9529505158180128,0.7849638493873602,1.0485421170856095
Linear regression,test,0.9739575195714746,0.7352223018399228,0.9316957178863823
Quadratic regression,train,0.9727474608975114,0.6245275126203809,0.7980166121460138
Quadratic regression,test,0.9719602641082425,0.7782543542335537,0.9667626991460301
Reference random forest,train,0.9966822433936474,0.20478036562499902,0.2784394117993266
Reference random forest,test,0.9820307395210752,0.6158468416666597,0.7739234896900907
Tuned random forest,train,0.9968572340392573,0.20357796111111778,0.2709969897091218
Tuned random forest,test,0.9814448344778749,0.63728068194446,0.7864395439072123
