rank_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,CV_RMSE_um
1,0.05346264610031446,300,15,1,1.0,0.7919322190157839
2,0.053462646100315425,300,,1,1.0,0.7919322190157841
3,0.053407813649189353,300,10,1,1.0,0.791968435647941
4,0.04001497476167592,100,,1,1.0,0.7949272172508888
5,0.04001497476167528,100,15,1,1.0,0.7949272172508891
6,0.040004813721566376,100,10,1,1.0,0.7949380494009309
7,0.04864640958347087,300,5,1,1.0,0.846931128748736
8,0.044217654070044854,100,5,1,1.0,0.8475736782775176
9,0.13830489192868764,300,10,1,sqrt,0.8705651179047583
10,0.13848455632403744,300,15,1,sqrt,0.8707224195752383
11,0.13848455632403647,300,,1,sqrt,0.8707224195752385
12,0.14109035974427303,100,10,1,sqrt,0.8845612592161849
13,0.14223748453623353,100,,1,sqrt,0.8852606732423824
14,0.14223748453623408,100,15,1,sqrt,0.8852606732423833
15,0.08311838278797844,300,,2,1.0,0.9079097946055278
16,0.08311838278797885,300,15,2,1.0,0.9079097946055285
17,0.08311838278797881,300,10,2,1.0,0.9079097946055292
18,0.07522996169627655,100,10,2,1.0,0.9097422683260497
18,0.07522996169627744,100,15,2,1.0,0.9097422683260497
20,0.07522996169627755,100,,2,1.0,0.9097422683260504
21,0.07940662179445163,100,5,2,1.0,0.9273036605347487
22,0.08486395514995658,300,5,2,1.0,0.9275078640114238
23,0.18556239595541324,300,5,1,sqrt,0.959365579571591
24,0.17810069702418863,100,5,1,sqrt,0.9822438434123137
25,0.1774482530201123,100,,2,sqrt,1.0726475677268894
26,0.1774482530201123,100,10,2,sqrt,1.0726475677268899
27,0.17744825302011238,100,15,2,sqrt,1.07264756772689
28,0.1893066303972594,300,10,2,sqrt,1.084597916772769
29,0.18930663039726,300,15,2,sqrt,1.0845979167727693
30,0.18930663039725945,300,,2,sqrt,1.08459791677277
31,0.2017264688080645,100,5,2,sqrt,1.1010942406115345
32,0.20064211269208992,300,5,2,sqrt,1.106344206778725
33,0.13388461750357747,300,15,4,1.0,1.2069015691367635
34,0.13388461750357825,300,10,4,1.0,1.206901569136764
35,0.1338846175035787,300,,4,1.0,1.2069015691367642
36,0.13342193647578507,300,5,4,1.0,1.2075470830272286
37,0.128383679753221,100,10,4,1.0,1.2099475626069052
38,0.12838367975322051,100,,4,1.0,1.209947562606906
38,0.1283836797532209,100,15,4,1.0,1.209947562606906
40,0.12808944628668295,100,5,4,1.0,1.2104637479265108
41,0.24882281666115477,300,10,4,sqrt,1.4728575418121987
42,0.2488228166611553,300,15,4,sqrt,1.4728575418121992
42,0.24882281666115544,300,,4,sqrt,1.4728575418121992
44,0.2501337739100276,300,5,4,sqrt,1.4765117864937034
45,0.23480923982008392,100,15,4,sqrt,1.483479777535186
46,0.23480923982008367,100,10,4,sqrt,1.4834797775351862
47,0.23480923982008325,100,,4,sqrt,1.4834797775351865
48,0.2324756808171383,100,5,4,sqrt,1.486081135662801
